identifier,department,customerIntro,customerResponses,agentIntro,agentResponses
ase-240ef140a92de19c,Insurance,Garrosh Hellscream Jaina Proudmoore Thrall Garrosh Hellscream Valeera Sanguinar Garrosh Hellscream Malfurion Stormrage Malfurion Stormrage Anduin Wrynn Thrall Rexxar Garrosh Hellscream Gul'dan Illidan Stormrage Jaina Proudmoore Thrall Thrall Jaina Proudmoore,Anduin Wrynn Thrall Gul'dan Thrall Malfurion Stormrage Rexxar Malfurion Stormrage Jaina Proudmoore Thrall Rexxar Illidan Stormrage Malfurion Stormrage Garrosh Hellscream Thrall;Valeera Sanguinar Anduin Wrynn Rexxar;Thrall Malfurion Stormrage Malfurion Stormrage Illidan Stormrage,Garrosh Hellscream Thrall Garrosh Hellscream Gul'dan Valeera Sanguinar Jaina Proudmoore Garrosh Hellscream Anduin Wrynn Jaina Proudmoore Valeera Sanguinar Gul'dan Valeera Sanguinar Illidan Stormrage Gul'dan Valeera Sanguinar Malfurion Stormrage Rexxar Jaina Proudmoore Uther Lightbringer;Jaina Proudmoore Thrall,Garrosh Hellscream Uther Lightbringer Illidan Stormrage Thrall Rexxar Garrosh Hellscream Rexxar Jaina Proudmoore Malfurion Stormrage;Thrall Jaina Proudmoore Illidan Stormrage Gul'dan Jaina Proudmoore Gul'dan Jaina Proudmoore Illidan Stormrage Garrosh Hellscream Malfurion Stormrage Valeera Sanguinar Uther Lightbringer Garrosh Hellscream Uther Lightbringer Gul'dan Thrall
ase-4e9b86e6e10ba8c6,Insurance,Thrall Anduin Wrynn Jaina Proudmoore Valeera Sanguinar Garrosh Hellscream;Gul'dan Malfurion Stormrage Malfurion Stormrage Garrosh Hellscream;Anduin Wrynn Valeera Sanguinar Jaina Proudmoore Anduin Wrynn Gul'dan Malfurion Stormrage Garrosh Hellscream Gul'dan Jaina Proudmoore Garrosh Hellscream Gul'dan,Valeera Sanguinar Garrosh Hellscream Jaina Proudmoore Rexxar Rexxar Garrosh Hellscream Jaina Proudmoore Illidan Stormrage Malfurion Stormrage Rexxar Garrosh Hellscream Uther Lightbringer Garrosh Hellscream Malfurion Stormrage Anduin Wrynn Garrosh Hellscream Anduin Wrynn;Malfurion Stormrage Thrall Garrosh Hellscream Rexxar Gul'dan Garrosh Hellscream;Garrosh Hellscream Uther Lightbringer Jaina Proudmoore Rexxar Rexxar Jaina Proudmoore Uther Lightbringer Gul'dan Gul'dan Illidan Stormrage Anduin Wrynn Anduin Wrynn Uther Lightbringer Malfurion Stormrage Anduin Wrynn Illidan Stormrage,Jaina Proudmoore Thrall;Illidan Stormrage Anduin Wrynn Rexxar Rexxar Rexxar Valeera Sanguinar,Thrall Garrosh Hellscream Garrosh Hellscream Thrall Uther Lightbringer Anduin Wrynn Gul'dan Gul'dan Valeera Sanguinar Valeera Sanguinar Uther Lightbringer Jaina Proudmoore Malfurion Stormrage Thrall Malfurion Stormrage Thrall Uther Lightbringer Malfurion Stormrage;Thrall;Rexxar Illidan Stormrage Anduin Wrynn Illidan Stormrage Thrall Anduin Wrynn Rexxar Valeera Sanguinar Anduin Wrynn Illidan Stormrage Valeera Sanguinar Uther Lightbringer Malfurion Stormrage Illidan Stormrage Valeera Sanguinar Gul'dan Anduin Wrynn Valeera Sanguinar Valeera Sanguinar;Anduin Wrynn Rexxar Malfurion Stormrage Rexxar Anduin Wrynn Jaina Proudmoore Rexxar Rexxar Thrall Malfurion Stormrage Uther Lightbringer Anduin Wrynn Jaina Proudmoore Anduin Wrynn Malfurion Stormrage Malfurion Stormrage Thrall Gul'dan;Valeera Sanguinar Garrosh Hellscream Malfurion Stormrage Jaina Proudmoore Valeera Sanguinar Malfurion Stormrage Rexxar Rexxar Malfurion Stormrage Valeera Sanguinar;Illidan Stormrage Malfurion Stormrage Thrall Valeera Sanguinar Valeera Sanguinar Anduin Wrynn Gul'dan Illidan Stormrage Jaina Proudmoore Illidan Stormrage Jaina Proudmoore Gul'dan;Thrall Valeera Sanguinar Illidan Stormrage Anduin Wrynn Gul'dan Uther Lightbringer Garrosh Hellscream Thrall Valeera Sanguinar Anduin Wrynn;Malfurion Stormrage Rexxar Jaina Proudmoore
ase-20efb88e8a3b1319,Primary / Secondary Education,Gul'dan Illidan Stormrage Anduin Wrynn Gul'dan Malfurion Stormrage Rexxar Rexxar Anduin Wrynn Uther Lightbringer Illidan Stormrage Malfurion Stormrage Jaina Proudmoore Illidan Stormrage Valeera Sanguinar;Malfurion Stormrage Uther Lightbringer Rexxar Uther Lightbringer Thrall Thrall Anduin Wrynn Malfurion Stormrage Thrall Uther Lightbringer Jaina Proudmoore Valeera Sanguinar Rexxar Illidan Stormrage Thrall Illidan Stormrage Uther Lightbringer Gul'dan Valeera Sanguinar,Garrosh Hellscream,Gul'dan Gul'dan Jaina Proudmoore Thrall Gul'dan Jaina Proudmoore Jaina Proudmoore Uther Lightbringer Rexxar Anduin Wrynn Anduin Wrynn Malfurion Stormrage;Jaina Proudmoore Valeera Sanguinar Malfurion Stormrage Uther Lightbringer Anduin Wrynn Illidan Stormrage Rexxar Thrall Gul'dan Garrosh Hellscream Thrall Illidan Stormrage;Valeera Sanguinar Malfurion Stormrage Malfurion Stormrage Illidan Stormrage Anduin Wrynn,Thrall Illidan Stormrage Jaina Proudmoore Jaina Proudmoore;Gul'dan
ase-7dbdddf7380fc613,Insurance,Illidan Stormrage Rexxar Malfurion Stormrage Rexxar Gul'dan Malfurion Stormrage Thrall,Illidan Stormrage;Anduin Wrynn Gul'dan Valeera Sanguinar Rexxar Garrosh Hellscream Anduin Wrynn Valeera Sanguinar Malfurion Stormrage Valeera Sanguinar Jaina Proudmoore Garrosh Hellscream Anduin Wrynn Uther Lightbringer Uther Lightbringer Gul'dan,Valeera Sanguinar Garrosh Hellscream Illidan Stormrage Anduin Wrynn Gul'dan Thrall Anduin Wrynn Garrosh Hellscream Malfurion Stormrage Thrall Rexxar Uther Lightbringer Illidan Stormrage Illidan Stormrage Thrall Rexxar Uther Lightbringer Jaina Proudmoore Valeera Sanguinar;Jaina Proudmoore Thrall Jaina Proudmoore Gul'dan Anduin Wrynn;Rexxar Gul'dan Thrall Valeera Sanguinar Malfurion Stormrage Gul'dan Gul'dan Thrall Garrosh Hellscream Gul'dan;Illidan Stormrage Garrosh Hellscream Thrall Illidan Stormrage Illidan Stormrage Garrosh Hellscream Valeera Sanguinar Garrosh Hellscream Garrosh Hellscream Valeera Sanguinar Garrosh Hellscream Anduin Wrynn Valeera Sanguinar Gul'dan Malfurion Stormrage,Thrall Thrall Jaina Proudmoore Garrosh Hellscream
ase-0e303c708a046ad5,Tobacco,Thrall Anduin Wrynn Gul'dan Garrosh Hellscream Malfurion Stormrage Valeera Sanguinar Valeera Sanguinar Garrosh Hellscream Jaina Proudmoore Malfurion Stormrage,Garrosh Hellscream Gul'dan Garrosh Hellscream Illidan Stormrage Garrosh Hellscream Valeera Sanguinar Illidan Stormrage Anduin Wrynn Uther Lightbringer Illidan Stormrage Rexxar Rexxar;Malfurion Stormrage Malfurion Stormrage Malfurion Stormrage Valeera Sanguinar Thrall Valeera Sanguinar Illidan Stormrage Thrall Jaina Proudmoore;Rexxar Illidan Stormrage Anduin Wrynn Valeera Sanguinar Thrall Thrall Thrall Uther Lightbringer Jaina Proudmoore Thrall Anduin Wrynn Jaina Proudmoore Uther Lightbringer Garrosh Hellscream Rexxar Valeera Sanguinar Garrosh Hellscream Jaina Proudmoore;Uther Lightbringer Illidan Stormrage Garrosh Hellscream Gul'dan;Jaina Proudmoore Valeera Sanguinar Rexxar Illidan Stormrage Uther Lightbringer Anduin Wrynn Garrosh Hellscream Thrall Garrosh Hellscream Thrall Rexxar Gul'dan Malfurion Stormrage Malfurion Stormrage Valeera Sanguinar Malfurion Stormrage Jaina Proudmoore Valeera Sanguinar;Jaina Proudmoore Thrall Malfurion Stormrage Jaina Proudmoore Jaina Proudmoore Gul'dan Rexxar Gul'dan Anduin Wrynn Gul'dan Anduin Wrynn Rexxar Gul'dan Jaina Proudmoore;Thrall Anduin Wrynn Jaina Proudmoore Gul'dan Gul'dan Illidan Stormrage Rexxar Gul'dan Rexxar Uther Lightbringer Valeera Sanguinar Jaina Proudmoore Garrosh Hellscream Jaina Proudmoore Valeera Sanguinar Jaina Proudmoore Rexxar Rexxar Garrosh Hellscream,Valeera Sanguinar Garrosh Hellscream Uther Lightbringer Valeera Sanguinar Uther Lightbringer Gul'dan Anduin Wrynn Uther Lightbringer Rexxar Thrall Jaina Proudmoore Rexxar,Anduin Wrynn Uther Lightbringer Garrosh Hellscream Valeera Sanguinar Rexxar Illidan Stormrage Illidan Stormrage Garrosh Hellscream Illidan Stormrage;Rexxar Thrall Jaina Proudmoore Gul'dan;Jaina Proudmoore Illidan Stormrage Gul'dan Thrall Illidan Stormrage Jaina Proudmoore Garrosh Hellscream Malfurion Stormrage Thrall Garrosh Hellscream Gul'dan Gul'dan Valeera Sanguinar Gul'dan Valeera Sanguinar Valeera Sanguinar;Anduin Wrynn Jaina Proudmoore Anduin Wrynn Malfurion Stormrage Malfurion Stormrage Gul'dan Gul'dan Malfurion Stormrage Illidan Stormrage Thrall Thrall Anduin Wrynn;Anduin Wrynn Gul'dan Gul'dan Malfurion Stormrage Malfurion Stormrage Gul'dan;Garrosh Hellscream Garrosh Hellscream;Valeera Sanguinar Garrosh Hellscream Rexxar Uther Lightbringer Anduin Wrynn Anduin Wrynn Illidan Stormrage Garrosh Hellscream Rexxar Illidan Stormrage
ase-be204975a7e19aaa,Retail,Jaina Proudmoore Malfurion Stormrage Illidan Stormrage Rexxar Valeera Sanguinar Malfurion Stormrage Thrall Illidan Stormrage Rexxar Malfurion Stormrage;Garrosh Hellscream Jaina Proudmoore Valeera Sanguinar Illidan Stormrage;Anduin Wrynn Garrosh Hellscream;Uther Lightbringer Garrosh Hellscream Gul'dan Uther Lightbringer Malfurion Stormrage Anduin Wrynn Rexxar Thrall Illidan Stormrage Valeera Sanguinar Jaina Proudmoore Gul'dan Anduin Wrynn Rexxar Anduin Wrynn Thrall Illidan Stormrage Gul'dan;Illidan Stormrage Illidan Stormrage Uther Lightbringer Illidan Stormrage Uther Lightbringer Anduin Wrynn Gul'dan Anduin Wrynn Illidan Stormrage Jaina Proudmoore Uther Lightbringer Malfurion Stormrage Garrosh Hellscream Thrall Jaina Proudmoore;Malfurion Stormrage Anduin Wrynn Jaina Proudmoore Valeera Sanguinar Anduin Wrynn Gul'dan;Rexxar Valeera Sanguinar Gul'dan Gul'dan Valeera Sanguinar Valeera Sanguinar;Anduin Wrynn Malfurion Stormrage Thrall Garrosh Hellscream Gul'dan Uther Lightbringer Malfurion Stormrage Garrosh Hellscream Jaina Proudmoore Thrall Garrosh Hellscream,Anduin Wrynn Uther Lightbringer Jaina Proudmoore Malfurion Stormrage Anduin Wrynn Garrosh Hellscream Jaina Proudmoore Gul'dan Illidan Stormrage Anduin Wrynn Thrall Rexxar Anduin Wrynn Garrosh Hellscream Illidan Stormrage Garrosh Hellscream,Malfurion Stormrage Gul'dan Thrall Gul'dan Illidan Stormrage Illidan Stormrage Valeera Sanguinar Gul'dan Uther Lightbringer Thrall Anduin Wrynn Jaina Proudmoore Anduin Wrynn Illidan Stormrage Thrall Uther Lightbringer Garrosh Hellscream Jaina Proudmoore;Gul'dan Thrall Anduin Wrynn Rexxar Jaina Proudmoore Thrall Rexxar Garrosh Hellscream Garrosh Hellscream Garrosh Hellscream Garrosh Hellscream Uther Lightbringer Illidan Stormrage Thrall Jaina Proudmoore Thrall;Valeera Sanguinar Malfurion Stormrage Jaina Proudmoore Uther Lightbringer Uther Lightbringer Illidan Stormrage Thrall Anduin Wrynn Jaina Proudmoore Thrall Jaina Proudmoore Thrall Jaina Proudmoore Garrosh Hellscream Rexxar Rexxar;Thrall Anduin Wrynn Uther Lightbringer Thrall Malfurion Stormrage Anduin Wrynn Thrall Gul'dan Illidan Stormrage Illidan Stormrage Jaina Proudmoore Uther Lightbringer,Thrall Thrall Thrall;Jaina Proudmoore Thrall Jaina Proudmoore Rexxar Garrosh Hellscream;Anduin Wrynn;Jaina Proudmoore Anduin Wrynn Jaina Proudmoore Rexxar Gul'dan Garrosh Hellscream Gul'dan Thrall Valeera Sanguinar Illidan Stormrage Uther Lightbringer Rexxar Malfurion Stormrage Garrosh Hellscream;Thrall Malfurion Stormrage Uther Lightbringer Uther Lightbringer Gul'dan
ase-27404a41c352b45c,Primary / Secondary Education,Malfurion Stormrage Anduin Wrynn Jaina Proudmoore Gul'dan Gul'dan Malfurion Stormrage Garrosh Hellscream Gul'dan Jaina Proudmoore Rexxar,Malfurion Stormrage Thrall Malfurion Stormrage Malfurion Stormrage Malfurion Stormrage Thrall,Anduin Wrynn Thrall Valeera Sanguinar Gul'dan Malfurion Stormrage Anduin Wrynn Gul'dan Garrosh Hellscream Rexxar Illidan Stormrage Anduin Wrynn Gul'dan Thrall Rexxar;Malfurion Stormrage Jaina Proudmoore Valeera Sanguinar Malfurion Stormrage Anduin Wrynn Thrall Valeera Sanguinar Anduin Wrynn Gul'dan Anduin Wrynn Garrosh Hellscream Thrall Thrall Gul'dan Garrosh Hellscream Illidan Stormrage Thrall Garrosh Hellscream;Thrall Malfurion Stormrage Anduin Wrynn Malfurion Stormrage Anduin Wrynn Illidan Stormrage Garrosh Hellscream Garrosh Hellscream Uther Lightbringer Jaina Proudmoore Garrosh Hellscream Garrosh Hellscream Illidan Stormrage Rexxar Rexxar Valeera Sanguinar Uther Lightbringer;Garrosh Hellscream Garrosh Hellscream Uther Lightbringer Thrall Uther Lightbringer Uther Lightbringer Valeera Sanguinar Illidan Stormrage Jaina Proudmoore Garrosh Hellscream Anduin Wrynn Valeera Sanguinar Thrall Garrosh Hellscream Uther Lightbringer Uther Lightbringer Rexxar Valeera Sanguinar;Gul'dan Uther Lightbringer Gul'dan Malfurion Stormrage Garrosh Hellscream;Rexxar Anduin Wrynn Jaina Proudmoore Uther Lightbringer Jaina Proudmoore Anduin Wrynn Illidan Stormrage Malfurion Stormrage Jaina Proudmoore Uther Lightbringer Illidan Stormrage Rexxar Jaina Proudmoore Thrall Malfurion Stormrage Illidan Stormrage Garrosh Hellscream Thrall;Anduin Wrynn Garrosh Hellscream Rexxar Thrall Jaina Proudmoore Jaina Proudmoore Jaina Proudmoore Jaina Proudmoore Gul'dan Malfurion Stormrage Rexxar;Gul'dan Malfurion Stormrage Thrall Anduin Wrynn Illidan Stormrage Garrosh Hellscream Anduin Wrynn Illidan Stormrage,Rexxar Valeera Sanguinar Gul'dan Jaina Proudmoore Anduin Wrynn Anduin Wrynn Anduin Wrynn Valeera Sanguinar Malfurion Stormrage Malfurion Stormrage Thrall Valeera Sanguinar Anduin Wrynn Rexxar Illidan Stormrage Illidan Stormrage Valeera Sanguinar Valeera Sanguinar Anduin Wrynn
ase-f8da334dfe7a909e,Primary / Secondary Education,Jaina Proudmoore Jaina Proudmoore Thrall Thrall Garrosh Hellscream Illidan Stormrage,Anduin Wrynn Anduin Wrynn Jaina Proudmoore,Anduin Wrynn Anduin Wrynn Malfurion Stormrage Uther Lightbringer Uther Lightbringer Uther Lightbringer;Valeera Sanguinar Uther Lightbringer Valeera Sanguinar Jaina Proudmoore Rexxar Illidan Stormrage Jaina Proudmoore Uther Lightbringer Valeera Sanguinar Malfurion Stormrage Malfurion Stormrage Malfurion Stormrage;Rexxar Rexxar Gul'dan Valeera Sanguinar Gul'dan Rexxar Jaina Proudmoore Rexxar Jaina Proudmoore Gul'dan Rexxar Gul'dan Gul'dan Malfurion Stormrage Gul'dan Malfurion Stormrage Jaina Proudmoore;Jaina Proudmoore Illidan Stormrage Malfurion Stormrage Anduin Wrynn Illidan Stormrage Valeera Sanguinar Anduin Wrynn Garrosh Hellscream Valeera Sanguinar;Anduin Wrynn Anduin Wrynn Thrall Gul'dan Rexxar;Jaina Proudmoore;Gul'dan Jaina Proudmoore Jaina Proudmoore Thrall Garrosh Hellscream Valeera Sanguinar Jaina Proudmoore Illidan Stormrage Rexxar Illidan Stormrage Malfurion Stormrage Valeera Sanguinar Illidan Stormrage Uther Lightbringer;Illidan Stormrage Anduin Wrynn Uther Lightbringer Thrall Gul'dan Uther Lightbringer Jaina Proudmoore Illidan Stormrage Thrall Rexxar Malfurion Stormrage Malfurion Stormrage,Uther Lightbringer Gul'dan Jaina Proudmoore Gul'dan Anduin Wrynn Gul'dan;Malfurion Stormrage Gul'dan Uther Lightbringer Jaina Proudmoore Valeera Sanguinar Gul'dan Thrall Garrosh Hellscream Malfurion Stormrage Illidan Stormrage Illidan Stormrage Malfurion Stormrage;Gul'dan Uther Lightbringer Rexxar Thrall Jaina Proudmoore Garrosh Hellscream Valeera Sanguinar;Gul'dan Malfurion Stormrage Rexxar Valeera Sanguinar Malfurion Stormrage Thrall Jaina Proudmoore Uther Lightbringer Gul'dan;Rexxar Malfurion Stormrage Garrosh Hellscream Thrall Illidan Stormrage Thrall Malfurion Stormrage Thrall Valeera Sanguinar Rexxar Jaina Proudmoore;Malfurion Stormrage Jaina Proudmoore Illidan Stormrage Malfurion Stormrage Uther Lightbringer Gul'dan Thrall Thrall
ase-a7227972781a594c,Primary / Secondary Education,Malfurion Stormrage Garrosh Hellscream Garrosh Hellscream Jaina Proudmoore Rexxar Jaina Proudmoore Rexxar Rexxar Garrosh Hellscream Thrall;Illidan Stormrage Malfurion Stormrage Rexxar Illidan Stormrage Malfurion Stormrage Uther Lightbringer Rexxar Malfurion Stormrage Anduin Wrynn Garrosh Hellscream Malfurion Stormrage Illidan Stormrage;Anduin Wrynn Malfurion Stormrage;Jaina Proudmoore,Malfurion Stormrage Malfurion Stormrage Jaina Proudmoore Gul'dan Gul'dan,Malfurion Stormrage Valeera Sanguinar Gul'dan Jaina Proudmoore Thrall Rexxar Valeera Sanguinar Gul'dan Gul'dan Gul'dan;Gul'dan Uther Lightbringer Jaina Proudmoore Gul'dan Malfurion Stormrage Garrosh Hellscream Illidan Stormrage;Uther Lightbringer Garrosh Hellscream Anduin Wrynn Jaina Proudmoore Valeera Sanguinar Garrosh Hellscream Jaina Proudmoore Malfurion Stormrage Garrosh Hellscream Uther Lightbringer Rexxar Garrosh Hellscream Uther Lightbringer Rexxar,Illidan Stormrage Uther Lightbringer Jaina Proudmoore Illidan Stormrage Gul'dan Anduin Wrynn Gul'dan Illidan Stormrage Rexxar;Illidan Stormrage Jaina Proudmoore Jaina Proudmoore Valeera Sanguinar Illidan Stormrage Anduin Wrynn Jaina Proudmoore Jaina Proudmoore Valeera Sanguinar Rexxar Thrall Anduin Wrynn Valeera Sanguinar Illidan Stormrage Garrosh Hellscream;Anduin Wrynn;Illidan Stormrage Garrosh Hellscream Uther Lightbringer Malfurion Stormrage Uther Lightbringer Valeera Sanguinar Anduin Wrynn Illidan Stormrage Jaina Proudmoore Thrall;Valeera Sanguinar Gul'dan Malfurion Stormrage Anduin Wrynn Valeera Sanguinar Rexxar Anduin Wrynn Garrosh Hellscream Jaina Proudmoore Gul'dan Gul'dan Gul'dan Uther Lightbringer Valeera Sanguinar Illidan Stormrage Garrosh Hellscream;Gul'dan Thrall Valeera Sanguinar
ase-010db0255de0c6e3,Primary / Secondary Education,Valeera Sanguinar Malfurion Stormrage Malfurion Stormrage Valeera Sanguinar Jaina Proudmoore Garrosh Hellscream,Thrall Illidan Stormrage Malfurion Stormrage Illidan Stormrage Illidan Stormrage Jaina Proudmoore Gul'dan Malfurion Stormrage Anduin Wrynn Garrosh Hellscream Gul'dan Garrosh Hellscream Gul'dan,Jaina Proudmoore Anduin Wrynn Garrosh Hellscream Jaina Proudmoore Gul'dan Illidan Stormrage Anduin Wrynn Thrall Gul'dan Thrall Garrosh Hellscream Jaina Proudmoore Anduin Wrynn Uther Lightbringer Jaina Proudmoore Malfurion Stormrage Jaina Proudmoore;Jaina Proudmoore Uther Lightbringer Garrosh Hellscream Uther Lightbringer Jaina Proudmoore Rexxar Valeera Sanguinar Rexxar Garrosh Hellscream Thrall;Garrosh Hellscream Gul'dan Thrall Rexxar Illidan Stormrage;Anduin Wrynn Jaina Proudmoore Valeera Sanguinar Malfurion Stormrage Gul'dan Uther Lightbringer Gul'dan Uther Lightbringer;Uther Lightbringer Anduin Wrynn Uther Lightbringer Valeera Sanguinar;Illidan Stormrage Thrall Jaina Proudmoore,Anduin Wrynn Valeera Sanguinar Illidan Stormrage Thrall Uther Lightbringer Valeera Sanguinar Anduin Wrynn Anduin Wrynn Gul'dan Rexxar Illidan Stormrage Thrall Jaina Proudmoore Illidan Stormrage;Jaina Proudmoore Anduin Wrynn Uther Lightbringer;Rexxar Valeera Sanguinar;Anduin Wrynn Jaina Proudmoore Thrall Valeera Sanguinar Malfurion Stormrage Malfurion Stormrage Gul'dan Illidan Stormrage Malfurion Stormrage Illidan Stormrage Malfurion Stormrage Uther Lightbringer Garrosh Hellscream Malfurion Stormrage Anduin Wrynn;Rexxar Uther Lightbringer Jaina Proudmoore Garrosh Hellscream Anduin Wrynn
